idx,eval_char,eval_calligrapher,nn_ssim,nn_char,nn_calligrapher,nn_image_path
0,欄,唐寅,0.39435,欄,唐寅,/root/Workspace/xy/DiT/data/50k/imgs/010326.png
1,敢,赵孟頫,0.60029,敢,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046165.png
2,炙,王献之,0.62229,炙,王献之,/root/Workspace/xy/DiT/data/50k/imgs/037279.png
3,厲,何绍基,0.53001,厲,于右任,/root/Workspace/xy/DiT/data/50k/imgs/028707.png
4,後,吴昌硕,0.61740,後,吴昌硕,/root/Workspace/xy/DiT/data/50k/imgs/031344.png
5,世,虞世南,0.66134,世,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/043483.png
6,押,沈尹默,0.42992,押,沈尹默,/root/Workspace/xy/DiT/data/50k/imgs/023481.png
7,宣,李邕,0.47222,宣,米芾,/root/Workspace/xy/DiT/data/50k/imgs/005087.png
8,病,林散之,0.46494,病,柳公权,/root/Workspace/xy/DiT/data/50k/imgs/035395.png
9,平,康里巎巎,0.76643,平,康里巎巎,/root/Workspace/xy/DiT/data/50k/imgs/032571.png
10,蜕,颜真卿,0.58639,蜕,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/016784.png
11,坑,薛稷,0.46728,坑,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/036125.png
12,禾,王铎,0.65299,禾,虞世南,/root/Workspace/xy/DiT/data/50k/imgs/042809.png
13,目,朱耷,0.67166,目,朱耷,/root/Workspace/xy/DiT/data/50k/imgs/024549.png
14,木,智永,0.69299,木,颜真卿,/root/Workspace/xy/DiT/data/50k/imgs/046765.png
15,飾,赵之谦,0.64006,飾,金农,/root/Workspace/xy/DiT/data/50k/imgs/045955.png
16,慧,祝允明,0.62070,慧,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/037730.png
17,戻,欧阳通,0.53965,戻,沈尹默,/root/Workspace/xy/DiT/data/50k/imgs/007913.png
18,夷,朱熹,0.77128,夷,朱熹,/root/Workspace/xy/DiT/data/50k/imgs/034211.png
19,眾,钟繇,0.64413,眾,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/013503.png
