idx,eval_char,eval_calligrapher,nn_ssim,nn_char,nn_calligrapher,nn_image_path
0,出,柳公权,0.62663,出,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046020.png
1,短,沈尹默,0.54014,短,智永,/root/Workspace/xy/DiT/data/50k/imgs/033967.png
2,堂,赵之谦,0.49230,堂,金农,/root/Workspace/xy/DiT/data/50k/imgs/045584.png
3,禮,柳公权,0.45288,禮,李邕,/root/Workspace/xy/DiT/data/50k/imgs/013909.png
4,簿,文徵明,0.52503,簿,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/014465.png
5,静,文徵明,0.45055,静,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/020622.png
6,瑟,智永,0.48110,瑟,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/012620.png
7,紹,苏轼,0.43464,紹,米芾,/root/Workspace/xy/DiT/data/50k/imgs/014684.png
8,升,赵孟頫,0.68611,升,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/002757.png
9,扃,欧阳询,0.52594,扃,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/023460.png
10,霞,米芾,0.63532,霞,李邕,/root/Workspace/xy/DiT/data/50k/imgs/020487.png
11,照,赵孟頫,0.45554,照,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/043791.png
12,蹰,姜夔,,,,
13,余,欧阳询,0.68969,余,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/041586.png
14,逋,赵之谦,0.62260,逋,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/018780.png
15,書,祝允明,0.69945,書,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/037811.png
16,終,王铎,0.56601,終,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/014702.png
17,郎,林散之,0.51683,郎,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/043927.png
18,逮,褚遂良,0.66469,逮,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046309.png
19,旅,唐寅,0.63867,旅,林散之,/root/Workspace/xy/DiT/data/50k/imgs/034775.png
20,沙,林散之,0.67626,沙,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/011019.png
21,箫,虞世南,0.56153,箫,唐寅,/root/Workspace/xy/DiT/data/50k/imgs/031923.png
22,略,唐寅,0.49742,略,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/052163.png
23,黔,赵之谦,0.42850,黔,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/026455.png
24,壮,王宠,0.71315,壮,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/037603.png
25,兔,孙过庭,0.68005,兔,祝允明,/root/Workspace/xy/DiT/data/50k/imgs/038574.png
26,秊,林散之,,,,
27,强,颜真卿,0.66617,强,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/027255.png
28,凫,文徵明,0.69172,凫,董其昌,/root/Workspace/xy/DiT/data/50k/imgs/041260.png
29,姚,金农,0.66690,姚,郑板桥,/root/Workspace/xy/DiT/data/50k/imgs/045256.png
30,習,智永,0.47463,習,祝允明,/root/Workspace/xy/DiT/data/50k/imgs/015191.png
